text,label
"The food was fantastic, highly recommend it.",1
"Disappointing experience, won't buy again.",0
The delivery was late and the package was damaged.,0
"Disappointing experience, won't buy again.",1
"Excellent quality, exceeded my expectations.",0
The customer support is unresponsive and rude.,0
"I love this product, it's amazing!",0
"Disappointing experience, won't buy again.",0
"Excellent quality, exceeded my expectations.",1
"Terrible service, will never use again.",0
"Great experience, very happy with my purchase.",0
The customer support is unresponsive and rude.,0
"The food was fantastic, highly recommend it.",1
"Excellent quality, exceeded my expectations.",0
The delivery was late and the package was damaged.,1
The app is easy to use and very intuitive.,1
"Terrible service, will never use again.",0
"The food was fantastic, highly recommend it.",1
"The food was fantastic, highly recommend it.",1
"I love this product, it's amazing!",1
The customer support is unresponsive and rude.,0
The customer support is unresponsive and rude.,1
"The food was fantastic, highly recommend it.",1
"Great experience, very happy with my purchase.",0
The customer support is unresponsive and rude.,1
The app is easy to use and very intuitive.,0
The delivery was late and the package was damaged.,1
"Terrible service, will never use again.",0
"Great experience, very happy with my purchase.",1
The delivery was late and the package was damaged.,1
The app is easy to use and very intuitive.,1
The customer support is unresponsive and rude.,0
"Excellent quality, exceeded my expectations.",0
"Great experience, very happy with my purchase.",1
"Awful quality, not worth the money.",0
"Excellent quality, exceeded my expectations.",1
"The food was fantastic, highly recommend it.",0
"I love this product, it's amazing!",1
"I love this product, it's amazing!",1
"Disappointing experience, won't buy again.",0
"Awful quality, not worth the money.",1
The delivery was late and the package was damaged.,0
"Disappointing experience, won't buy again.",0
"Excellent quality, exceeded my expectations.",1
"Terrible service, will never use again.",0
"Terrible service, will never use again.",0
"Terrible service, will never use again.",0
"Disappointing experience, won't buy again.",1
"Disappointing experience, won't buy again.",0
"Excellent quality, exceeded my expectations.",0
"Terrible service, will never use again.",1
The delivery was late and the package was damaged.,0
The app is easy to use and very intuitive.,0
The customer support is unresponsive and rude.,1
The delivery was late and the package was damaged.,1
"I love this product, it's amazing!",0
The customer support is unresponsive and rude.,0
The app is easy to use and very intuitive.,1
"Excellent quality, exceeded my expectations.",0
The delivery was late and the package was damaged.,1
The delivery was late and the package was damaged.,1
"Awful quality, not worth the money.",1
The delivery was late and the package was damaged.,1
"The food was fantastic, highly recommend it.",0
"Great experience, very happy with my purchase.",0
The delivery was late and the package was damaged.,0
The customer support is unresponsive and rude.,1
"Terrible service, will never use again.",0
The app is easy to use and very intuitive.,1
"The food was fantastic, highly recommend it.",0
"The food was fantastic, highly recommend it.",0
The customer support is unresponsive and rude.,0
"Awful quality, not worth the money.",0
The app is easy to use and very intuitive.,1
The customer support is unresponsive and rude.,0
"Terrible service, will never use again.",0
The app is easy to use and very intuitive.,1
"Awful quality, not worth the money.",0
"I love this product, it's amazing!",1
"I love this product, it's amazing!",0
"I love this product, it's amazing!",0
"The food was fantastic, highly recommend it.",1
The app is easy to use and very intuitive.,1
"Terrible service, will never use again.",0
"Disappointing experience, won't buy again.",1
"Disappointing experience, won't buy again.",1
"Great experience, very happy with my purchase.",0
The customer support is unresponsive and rude.,0
The delivery was late and the package was damaged.,0
The delivery was late and the package was damaged.,1
"I love this product, it's amazing!",0
The customer support is unresponsive and rude.,0
"Terrible service, will never use again.",0
"Disappointing experience, won't buy again.",0
"Great experience, very happy with my purchase.",0
The customer support is unresponsive and rude.,0
The delivery was late and the package was damaged.,1
"I love this product, it's amazing!",0
"Disappointing experience, won't buy again.",1
"Terrible service, will never use again.",1
